year,series,definition,share_pct,denominator,source,estimated,notes
2001,rhfs_nonindividual_sfr_property,Share of single-family rental properties owned by non-individual (institutional) entities per Census owner type,17.3,US single-family rental properties (RFS 2001),JCHS Harvard RHFS blog; Census RFS 2001,false,Includes LLC/partnership ownership; not Wall Street mega-landlord stock share
2005,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (large-scale post-crisis sector; pre-2012 effectively zero at 1000+ scale),0.0,US one-unit rental housing stock (~15.1M by 2022),GAO-24-106643 literature review; Mills FEDS 2015-084,true,No large buy-to-rent platforms at national scale before 2012
2006,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (large-scale post-crisis sector),0.0,US one-unit rental housing stock,JCHS/Mills narrative,true,Pre-scale sector
2007,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (large-scale post-crisis sector),0.0,US one-unit rental housing stock,JCHS/Mills narrative,true,Pre-scale sector
2008,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (large-scale post-crisis sector),0.0,US one-unit rental housing stock,JCHS/Mills narrative,true,Pre-scale sector
2009,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (large-scale post-crisis sector),0.0,US one-unit rental housing stock,JCHS/Mills narrative,true,Pre-scale sector
2010,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (large-scale post-crisis sector),0.0,US one-unit rental housing stock,JCHS/Mills narrative,true,Pre-scale sector
2011,large_institutional_sfr_stock,Share of US one-unit rental homes owned by investors with 1000+ SFR homes (GAO-reviewed studies),0.0,US single-family rental housing stock,GAO-24-106643,false,GAO: no investor owned 1000+ SFR homes as of late 2011
2012,large_institutional_sfr_stock,Share of US one-unit rental homes owned by large institutional SFR operators (national stock),0.38,US single-family rental housing stock,Linear interpolation between 2011 (0%) and 2015 (1.5%),true,Mills: buy-to-rent ~1-2% of SF purchases 2012-2014 (flow not stock)
2012,buy_to_rent_purchase_share,Share of all US single-family home purchases by large buy-to-rent investors,1.5,All single-family home purchases,Mills Molloy Zarutskie FEDS 2015-084 / REE 2019,false,Midpoint of 1-2% range for 2012-2014 aggregate purchases
2013,large_institutional_sfr_stock,Share of US one-unit rental homes owned by large institutional SFR operators (national stock),0.75,US single-family rental housing stock,Linear interpolation between 2011 (0%) and 2015 (1.5%),true,Peak buy-to-rent acquisition years per Mills
2013,buy_to_rent_purchase_share,Share of all US single-family home purchases by large buy-to-rent investors,1.5,All single-family home purchases,Mills et al. FEDS 2015-084,false,Midpoint of 1-2% range
2014,large_institutional_sfr_stock,Share of US one-unit rental homes owned by large institutional SFR operators (national stock),1.13,US single-family rental housing stock,Linear interpolation between 2011 (0%) and 2015 (1.5%),true,
2014,buy_to_rent_purchase_share,Share of all US single-family home purchases by large buy-to-rent investors,1.5,All single-family home purchases,Mills et al. FEDS 2015-084,false,Midpoint of 1-2% range
2015,large_institutional_sfr_stock,Share of US one-unit rental homes owned by large institutional investors (170k-300k homes nationally),1.5,US single-family rental housing stock,GAO-24-106643,true,Midpoint of GAO-cited ~1-2% of SFR stock by 2015
2015,rhfs_nonindividual_sfr_property,Share of single-family rental properties owned by non-individual entities,24.5,US single-family rental properties,RHFS 2015 via JCHS Harvard,false,Broader than mega SFR; LLC ownership may overstate institutionalization
2016,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (Urban: >=100 homes definition by 2022),1.83,US one-unit rental housing stock,Linear interpolation 2015-2022,true,
2017,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),2.17,US one-unit rental housing stock,Linear interpolation 2015-2022,true,
2018,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),2.51,US one-unit rental housing stock,Linear interpolation 2015-2022,true,Prior site CSV used 2.2; extended series uses consistent interpolation
2019,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),2.86,US one-unit rental housing stock,Linear interpolation 2015-2022,true,
2020,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),3.2,US one-unit rental housing stock,Linear interpolation 2015-2022,true,
2021,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),3.54,US one-unit rental housing stock,Linear interpolation 2015-2022,true,
2022,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional investors (>=100 SFR homes),3.8,15.1 million US one-unit rentals; 574000 institutional homes,Urban Institute 2023 profile (June 2022 records),false,Primary observed national anchor
2022,mega_1000plus_sfr_stock,Share of US one-unit rental homes owned by investors with 1000+ SFR homes,3.0,15.1 million US one-unit rentals; ~450000 homes,GAO-24-106643 citing studies June 2022,false,Stricter mega definition than >=100 homes
2022,rhfs_nonindividual_sfr_property,Share of single-family rental properties owned by non-individual entities (no 2022 RHFS SFR release; 2015 value shown for reference),24.5,US single-family rental properties,RHFS 2015 (latest SFR property-type tabulation in JCHS),true,2012 RHFS did not tabulate single-family units per JCHS footnote
2023,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),4.0,US one-unit rental housing stock,Linear interpolation 2022 (3.8%) to 2024 (4.2%),true,
2024,large_institutional_sfr_stock,Share of US one-unit rental homes owned by institutional SFR investors (>=100 homes),4.2,US one-unit rental housing stock,Extrapolated from 2022 Urban anchor; GAO-2026 metro shares rising,true,National 2024 stock share not directly observed; metro data (e.g. Jacksonville 7% to 22% of SFR 2018-2024) suggests continued local growth
